Version,VersionName,Package,LCOM( badness ratio),I,CBO (median aggreg),MPC,v(G)tot,RFC (median aggreg),D,C,METH,LOC,TCOM_RAT,Jc,E
1,1_3.0.3,artofillusion.animation,52,0.77,12,41,3050,31,8671,120,1130,16823,5.99,94,72572712
1,1_3.0.3,artofillusion.image,55.5,0.52,9,27,706,19,2373,35,259,4577,6.26,87,15524818
1,1_3.0.3,artofillusion.keystroke,20,0.82,6,8,72,18,216,7,43,598,6.22,100,379302
1,1_3.0.3,artofillusion.material,89,0.6,13,52,132,17,420,17,109,1151,6.77,88.89,11423176
1,1_3.0.3,artofillusion.math,35.7,0,15,9,462,15,1224,17,201,2918,6.69,93.33,254991478
1,1_3.0.3,artofillusion.object,70,0.4,19,26,3191,39,8096,76,1023,17065,4.19,82.69,255007774
1,1_3.0.3,artofillusion.procedural,18.67,0.68,7,16,1991,15,5599,99,680,10956,8.39,64.47,41967716
1,1_3.0.3,artofillusion.script,40,0.84,7,19,253,15,887,23,127,1715,7.25,94.44,2653827
1,1_3.0.3,artofillusion.texture,61.2,0.59,15,34,1209,21,3631,60,534,7864,4.24,83.72,29315853
1,1_3.0.3,artofillusion.ui,65.3,0.06,9,13,1066,10,2513,67,444,6471,6.26,92.98,15458024
1,1_3.0.3,artofillusion.unwrap,0,1,7,35,100,16,162,3,14,474,9.98,0,1282408
1,1_3.0.3,artofillusion.util,50,0,4,15,550,10,896,8,77,2569,12.23,85.71,23299702
1,1_3.0.3,artofillusion.view,72,0.94,7,16,529,8,171,26,155,3707,4.16,95.24,45851300
2,2_ nightly-187a2b3,artofillusion.animation,52,0.77,12,41,3051,31,9800,120,1131,16832,6.01,94,90149571
2,2_ nightly-187a2b3,artofillusion.image,55.5,0.52,9,27,706,19,2909,35,259,4577,6.26,87,20577873
2,2_ nightly-187a2b3,artofillusion.keystroke,20,0.82,6,8,72,18,282,7,43,598,6.22,100,582706
2,2_ nightly-187a2b3,artofillusion.material,89,0.6,13,52,132,17,471,17,109,1151,6.77,88.89,2239497
2,2_ nightly-187a2b3,artofillusion.math,40,0,8,10,481,15,1504,18,220,3061,6.88,93.75,11150006
2,2_ nightly-187a2b3,artofillusion.object,70,0.4,19,26,3197,39,9621,76,1029,17105,4.25,82.69,314625536
2,2_ nightly-187a2b3,artofillusion.procedural,18.67,0.68,7,16,1991,15,6136,99,680,10956,8.39,64.47,50293702
2,2_ nightly-187a2b3,artofillusion.script,40,0.84,7,19,253,15,1044,23,127,1715,7.25,94.44,3313930
2,2_ nightly-187a2b3,artofillusion.texture,61.9,0.59,15,36,1209,21,3948,60,534,7865,4.24,83.72,33599411
2,2_ nightly-187a2b3,artofillusion.ui,65.3,0.06,9,13,1073,10,3097,67,446,6505,6.38,92.98,21864549
2,2_ nightly-187a2b3,artofillusion.unwrap,0,1,7,6,100,16,225,3,14,474,9.98,0,2021039
2,2_ nightly-187a2b3,artofillusion.util,50,0,4,16,550,10,1455,8,77,2569,12.23,85.71,42004692
2,2_ nightly-187a2b3,artofillusion.view,63.6,0.94,7,17,641,9,2527,31,182,4411,6.24,88,70566643
3,3_ nightly-6d119b1,artofillusion.animation,52,0.77,12,41,3050,31,8664,120,1131,16847,6.09,94,75724514
3,3_ nightly-6d119b1,artofillusion.image,64.5,0.57,9,42,1035,25,3183,40,374,6393,5.19,83,25979326
3,3_ nightly-6d119b1,artofillusion.keystroke,20,0.82,6,8,72,18,216,7,43,599,6.39,100,379842
3,3_ nightly-6d119b1,artofillusion.material,89,0.6,13,52,132,17,420,17,109,1151,6.77,88.89,1894649
3,3_ nightly-6d119b1,artofillusion.math,40,0,8,11,485,15,1367,18,222,3082,6.87,93.75,9824479
3,3_ nightly-6d119b1,artofillusion.object,70,0.4,19,26,3197,39,8063,76,1029,17122,4.34,82.69,254834622
3,3_ nightly-6d119b1,artofillusion.procedural,18.67,0.72,7,16,1991,15,5598,99,680,10962,8.41,64.47,41978329
3,3_ nightly-6d119b1,artofillusion.script,40,0.84,7,19,253,15,887,23,127,1715,7.25,94.44,2653827
3,3_ nightly-6d119b1,artofillusion.texture,61.9,0.6,15,36,1209,21,3634,60,534,7865,4.24,83.72,29355403
3,3_ nightly-6d119b1,artofillusion.ui,63.4,0.06,9,12,1073,10,2536,67,446,6527,6.51,92.98,15776206
3,3_ nightly-6d119b1,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
3,3_ nightly-6d119b1,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
3,3_ nightly-6d119b1,artofillusion.view,63.6,0.94,7,17,641,9,2032,31,182,4419,6.33,88,48242530
4,4_nightly-47c3f74,artofillusion.animation,52,0.76,12,41,3050,31,8671,120,1131,16849,6.09,94,75799897
4,4_nightly-47c3f74,artofillusion.image,64.5,0.57,9,42,1037,25,3189,40,374,6401,5.24,83,26076757
4,4_nightly-47c3f74,artofillusion.keystroke,20,0.82,6,8,72,18,216,7,43,599,6.39,100,379842
4,4_nightly-47c3f74,artofillusion.material,89,0.6,13,52,134,17,450,17,110,1159,6.72,88.89,1895044
4,4_nightly-47c3f74,artofillusion.math,40,0,8,11,485,15,1367,18,222,3083,6.9,93.75,9824479
4,4_nightly-47c3f74,artofillusion.object,70,0.4,19,26,3197,39,8069,76,1029,17126,4.34,82.69,254902727
4,4_nightly-47c3f74,artofillusion.procedural,19.7,0.72,8,16,1993,15,5593,100,682,10993,8.47,64.94,41881224
4,4_nightly-47c3f74,artofillusion.script,40,0.84,7,19,253,15,887,23,127,1715,7.25,94.44,2653827
4,4_nightly-47c3f74,artofillusion.texture,61.9,0.6,15,36,1211,21,3635,60,535,7872,4.24,83.72,29367051
4,4_nightly-47c3f74,artofillusion.ui,63.4,0.06,9,12,1085,10,2567,67,449,6563,6.49,92.98,16016756
4,4_nightly-47c3f74,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
4,4_nightly-47c3f74,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
4,4_nightly-47c3f74,artofillusion.view,65.27,0.94,7,11,652,8,2097,32,184,4496,6.21,88.46,49296537
5,5_3.1.0,artofillusion.animation,52,0.76,12,41,3050,31,8660,120,1131,16853,6.09,94,75640128
5,5_3.1.0,artofillusion.image,64.5,0.57,9,42,1037,25,3201,40,374,6399,5.28,83,26133975
5,5_3.1.0,artofillusion.keystroke,20,0.82,6,8,72,18,216,7,43,599,6.39,100,379842
5,5_3.1.0,artofillusion.material,89,0.6,13,52,134,17,420,17,110,1159,6.72,88.89,1895044
5,5_3.1.0,artofillusion.math,40,0,8,11,485,15,1367,18,222,3083,6.9,93.75,9824479
5,5_3.1.0,artofillusion.object,70,0.4,19,26,3200,39,8080,76,1029,17129,4.3,82.69,255087096
5,5_3.1.0,artofillusion.procedural,19.7,0.72,8,16,1993,15,5593,100,682,10993,8.47,64.94,41881224
5,5_3.1.0,artofillusion.script,40,0.84,7,19,253,15,887,23,127,1715,7.25,94.44,2653827
5,5_3.1.0,artofillusion.texture,61.9,0.6,15,36,1211,21,3635,60,535,7872,4.24,83.72,29367051
5,5_3.1.0,artofillusion.ui,63.4,0.06,9,12,1085,10,2565,67,449,6564,6.49,92.98,16014871
5,5_3.1.0,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
5,5_3.1.0,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
5,5_3.1.0,artofillusion.view,65.27,0.94,7,11,647,8,2087,32,184,4490,6.15,88.46,49295402
6,6_nightly-2020-06-25,artofillusion.animation,52,0.76,12,41,3084,31,8740,120,1133,17045,6.26,94,78211098
6,6_nightly-2020-06-25,artofillusion.image,64.5,0.57,9,42,1037,25,3201,40,374,6399,5.28,83,26133957
6,6_nightly-2020-06-25,artofillusion.keystroke,20,0.82,6,8,72,18,216,7,43,599,6.39,100,379842
6,6_nightly-2020-06-25,artofillusion.material,89,0.6,13,52,134,17,420,17,110,1159,6.72,88.89,1895044
6,6_nightly-2020-06-25,artofillusion.math,40,0,8,11,485,15,1367,18,222,3084,6.93,93.75,9824479
6,6_nightly-2020-06-25,artofillusion.object,70,0.39,19,26,3197,39,8074,76,1030,17183,4.3,82.69,254859238
6,6_nightly-2020-06-25,artofillusion.procedural,19.7,0.72,8,16,1993,15,5591,100,682,11051,9.04,64.94,41764636
6,6_nightly-2020-06-25,artofillusion.script,40,0.84,7,19,253,15,887,23,127,1715,7.25,94.44,2653827
6,6_nightly-2020-06-25,artofillusion.texture,61.9,0.6,15,36,1211,21,3635,60,535,7872,4.24,83.72,29367051
6,6_nightly-2020-06-25,artofillusion.ui,63.4,0.06,9,12,1123,10,2626,67,454,6752,6.52,92.98,18935087
6,6_nightly-2020-06-25,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
6,6_nightly-2020-06-25,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
6,6_nightly-2020-06-25,artofillusion.view,66.67,0.94,7,5,661,9,2163,33,185,4480,5.07,85.19,49604074
7,7_3.2.0,artofillusion.animation,52,0.76,12,41,3086,31,8747,120,1133,17052,6.26,94,78294485
7,7_3.2.0,artofillusion.image,64.5,0.57,9,42,1030,25,3178,40,373,6372,5.39,83,25725555
7,7_3.2.0,artofillusion.keystroke,20,0.81,5,8,73,18,22,7,43,615,6.4,100,415472
7,7_3.2.0,artofillusion.material,89,0.6,13,52,134,17,420,17,110,1159,6.72,88.89,1895044
7,7_3.2.0,artofillusion.math,40,0,8,11,485,15,1367,18,222,3084,6.93,93.75,9824479
7,7_3.2.0,artofillusion.object,70,0.39,19,26,3197,39,8070,76,1030,17184,4.31,82.69,254762596
7,7_3.2.0,artofillusion.procedural,19.7,0.72,8,16,1993,15,5591,100,682,11051,9.04,64.94,41764636
7,7_3.2.0,artofillusion.script,35.71,0.85,7,19,244,17,852,22,126,1699,6.72,94.12,2748162
7,7_3.2.0,artofillusion.texture,61.9,0.6,15,36,1211,21,3635,60,535,7872,4.24,83.72,29367051
7,7_3.2.0,artofillusion.ui,63.4,0.06,9,12,1123,10,2626,67,454,6753,6.51,92.98,18936410
7,7_3.2.0,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
7,7_3.2.0,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
7,7_3.2.0,artofillusion.view,66.67,0.94,7,5,661,9,2163,33,185,4480,5.07,85.19,49604074
